spectr,magnitudo,mass,radius,temperature,metal,age,planet_type
K,15.81,0.76,0.794,5100,0.03,,горячий нептун
K,15.81,0.76,0.794,5100,0.03,,очень теплый нептун
K,15.81,0.76,0.794,5100,0.03,,очень теплый нептун
K,15.57,0.82,0.72,4954,-0.1,,горячая земля
K,15.57,0.82,0.72,4954,-0.1,,очень теплый нептун
K,15.57,0.82,0.72,4954,-0.1,,очень теплый нептун
K,15.57,0.82,0.72,4954,-0.1,,теплый нептун
G8 V,14.07,0.907,0.814,5367,0.017,,очень теплый нептун
G8 V,14.07,0.907,0.814,5367,0.017,,очень теплый нептун
G,15.81,0.997,0.94,5895,-0.11,,горячий нептун
G,15.81,0.997,0.94,5895,-0.11,,очень теплый нептун
K,15.16,0.666,0.72,4713,0.2,,очень теплая земля
F,15.2,1.21,1.22,6340,-0.08,,горячая земля
F,15.2,1.21,1.22,6340,-0.08,,очень теплый нептун
F,15.2,1.21,1.22,6340,-0.08,,очень теплый нептун
G,14.28,0.85,0.876,5797,-0.3,,очень теплая земля
G,14.28,0.85,0.876,5797,-0.3,,очень теплый нептун
G,14.28,0.85,0.876,5797,-0.3,,теплый нептун
G,13.8,1.06,1.19,5905,-0.09,,горячая земля
G,13.8,1.06,1.19,5905,-0.09,,очень теплая земля
F,12.95,1.23,1.467,6115,0.05,,горячая земля
F,12.95,1.23,1.467,6115,0.05,,горячий нептун
G2,14.17,0.9,1.536,5727,0.21,,горячая земля
G2,14.17,0.9,1.536,5727,0.21,,горячий нептун
G,12.56,1.02,0.95,5378,0.26,,горячая земля
G,12.56,1.02,0.95,5378,0.26,,горячий нептун
G2 V,15.32,0.78,1.04,5796,-0.25,,очень теплый нептун
G2 V,15.32,0.78,1.04,5796,-0.25,,теплый нептун
K,15.22,0.53,0.52,4204,-0.48,,горячая земля
K,15.22,0.53,0.52,4204,-0.48,,очень теплая земля
G,15.38,0.95,0.94,5497,0.26,,горячий нептун
G,15.38,0.95,0.94,5497,0.26,,горячая земля
G2 V,13.3,1.05,1.19,5746,0.19,,горячий нептун
G2 V,13.3,1.05,1.19,5746,0.19,,горячий нептун
G5 V,13.83,1.29,0.903,5526,-0.08,,горячая земля
G5 V,13.83,1.29,0.903,5526,-0.08,,горячий нептун
G5 V,13.83,1.29,0.903,5526,-0.08,,очень теплый нептун
M1 V,15.8,0.54,0.53,3793,0.01,2,горячая земля
M1 V,15.8,0.54,0.53,3793,0.01,2,очень теплая земля
M1 V,15.8,0.54,0.53,3793,0.01,2,очень теплый нептун
M1 V,15.8,0.54,0.53,3793,0.01,2,очень теплый нептун
M1 V,15.8,0.54,0.53,3793,0.01,2,теплый нептун
F,13.47,,1.11,6435,-0.24,,горячий нептун
F,13.47,,1.11,6435,-0.24,,горячая земля
G3 V,12.71,1.01,1.194,5740,0.06,,горячая земля
G3 V,12.71,1.01,1.194,5740,0.06,,горячий нептун
G8 V,13.53,0.91,0.89,5388,0.06,,горячая земля
G8 V,13.53,0.91,0.89,5388,0.06,,горячая земля
G0 V,12.72,1.09,1.18,5987,-0.19,,горячая земля
G0 V,12.72,1.09,1.18,5987,-0.19,,горячая земля
G9 V,14.12,0.86,0.84,5194,0.08,,горячая земля
G9 V,14.12,0.86,0.84,5194,0.08,,очень теплая земля
G,15.01,0.78,1,5752,-0.17,,горячий нептун
G,15.01,0.78,1,5752,-0.17,,очень теплый нептун
G,15.01,0.78,1,5752,-0.17,,очень теплый нептун
K0 V,13.69,0.98,0.8,5105,0.05,,горячая земля
K0 V,13.69,0.98,0.8,5105,0.05,,горячая земля
K0 V,13.69,0.98,0.8,5105,0.05,,очень теплая земля
K7 V,15.02,0.55,0.492,3799,-0.2,,очень теплая земля
K7 V,15.02,0.55,0.492,3799,-0.2,,очень теплая земля
F,15.67,1.15,1.08,6210,0.09,,очень теплый нептун
F,15.67,1.15,1.08,6210,0.09,,очень теплый нептун
K,15.43,0.53,0.52,4257,-0.57,,очень теплая земля
G0,13.99,1.26,1.66,5947,0.14,4.2,горячая земля
G0,13.99,1.26,1.66,5947,0.14,4.2,горячий нептун
G0,13.99,1.26,1.66,5947,0.14,4.2,горячий нептун
G0,13.99,1.26,1.66,5947,0.14,4.2,очень теплый нептун
G0,13.99,1.26,1.66,5947,0.14,4.2,очень теплый нептун
K,15.26,0.78,0.722,5117,-0.1,,очень теплая земля
K,15.26,0.78,0.722,5117,-0.1,,очень теплая земля
K,15.86,0.51,0.492,4347,-0.85,,очень теплая земля
K,15.86,0.51,0.492,4347,-0.85,,очень теплая земля
K1 V,14.02,0.8,0.72,4955,-0.1,,очень теплая земля
K,14.73,0.54,0.534,4259,-0.47,,очень теплая земля
G1 V,12.78,1,1.068,5828,-0.08,,горячая земля
G1 V,12.78,1,1.068,5828,-0.08,,горячая земля
G1 V,12.78,1,1.068,5828,-0.08,,очень теплая земля
G0,14,0.99,1.85,5877,0.23,,горячий нептун
G0,14,0.99,1.85,5877,0.23,,очень теплый нептун
G1 V,13.6,0.89,1.304,5867,0.16,,горячая земля
G1 V,13.6,0.89,1.304,5867,0.16,,горячий нептун
G1 V,13.6,0.89,1.304,5867,0.16,,очень теплый нептун
G,12.73,0.96,1.76,5684,0.02,,горячая земля
G,12.73,0.96,1.76,5684,0.02,,горячий нептун
G0,12.12,1.1,1,5923,-0.07,,горячая земля
G0,12.12,1.1,1,5923,-0.07,,горячий нептун
G0,12.12,1.1,1,5923,-0.07,,горячий нептун
G0,12.12,1.1,1,5923,-0.07,,очень теплый нептун
G,14.53,0.84,0.8,5631,-0.24,,горячая земля
G,14.53,0.84,0.8,5631,-0.24,,горячая земля
G,14.53,0.84,0.8,5631,-0.24,,очень теплая земля
F,12.35,2.11,1.85,6620,-0.02,,горячий нептун
F,12.35,2.11,1.85,6620,-0.02,,горячий нептун
F,14.6,0.94,1.024,6012,-0.14,,горячая земля
F,14.6,0.94,1.024,6012,-0.14,,горячая земля
F,14.6,0.94,1.024,6012,-0.14,,очень теплая земля
F,14.6,0.94,1.024,6012,-0.14,,очень теплая земля
F8 V,13.15,1.13,1.47,6175,-0.04,,горячая земля
F8 V,13.15,1.13,1.47,6175,-0.04,,горячий нептун
F8 V,13.15,1.13,1.47,6175,-0.04,,очень теплая земля
F8 V,13.15,1.13,1.47,6175,-0.04,,очень теплый нептун
G1 V,14.13,1.04,1.433,5807,0.13,,горячий нептун
G1 V,14.13,1.04,1.433,5807,0.13,,очень теплый нептун
G,15.38,0.9,0.976,5774,-0.1,,очень теплый нептун
G,15.38,0.9,0.976,5774,-0.1,,теплый нептун
K5 V,14.03,0.59,0.62,4504,-0.02,,очень теплая земля
K5 V,14.03,0.59,0.62,4504,-0.02,,очень теплая земля
F,15.21,0.97,1.021,6033,-0.03,,горячий нептун
F,15.21,0.97,1.021,6033,-0.03,,очень теплый нептун
F,14.51,1.04,1.005,6088,-0.07,,горячая земля
F,14.51,1.04,1.005,6088,-0.07,,очень теплая земля
F8 V,12.56,1.15,1.36,6177,-0.06,,горячая земля
F8 V,12.56,1.15,1.36,6177,-0.06,,горячая земля
G,14.75,0.97,0.927,5956,-0.09,,горячая земля
G,14.75,0.97,0.927,5956,-0.09,,очень теплая земля
F8 V,13.78,1,1.534,6186,-0.09,,горячая земля
F8 V,13.78,1,1.534,6186,-0.09,,горячий нептун
F8 V,13.78,1,1.534,6186,-0.09,,очень теплый нептун
G,15.99,0.89,0.854,5643,-0.13,,очень теплый нептун
G,15.99,0.89,0.854,5643,-0.13,,очень теплый нептун
G8 V,12.96,0.79,0.78,5212,-0.14,,очень теплая земля
G8 V,12.96,0.79,0.78,5212,-0.14,,очень теплая земля
M0 V,15.77,0.54,0.504,3903,-0.2,,очень теплая земля
M0 V,15.77,0.54,0.504,3903,-0.2,,очень теплая земля
K,15.55,0.65,0.674,4648,-0.04,,очень теплая земля
K,15.55,0.65,0.674,4648,-0.04,,очень теплая земля
K,15.55,0.65,0.674,4648,-0.04,,очень теплая земля
F,15.09,1.05,1.066,6184,-0.05,,горячая земля
F,15.09,1.05,1.066,6184,-0.05,,очень теплый нептун
F8 V,12.99,0.97,1.335,6133,-0.02,,горячая земля
F8 V,12.99,0.97,1.335,6133,-0.02,,горячая земля
K,15.57,0.78,0.834,5036,0.05,,горячая земля
K,15.57,0.78,0.834,5036,0.05,,очень теплый нептун
K,15.57,0.78,0.834,5036,0.05,,очень теплый нептун
G,15.38,0.95,0.954,5908,-0.03,,очень теплый нептун
G,15.38,0.95,0.954,5908,-0.03,,очень теплый нептун
F,15.89,1.07,1.09,6248,-0.04,,очень теплый нептун
F,15.89,1.07,1.09,6248,-0.04,,очень теплый нептун
F,15.89,1.07,1.09,6248,-0.04,,очень теплый нептун
G0,11.87,1.071,1.626,5911,,7,горячая земля
G0,11.87,1.071,1.626,5911,,7,горячий нептун
F,14.87,0.95,1.06,6053,-0.12,,горячая земля
F,14.87,0.95,1.06,6053,-0.12,,горячий нептун
F8 V,13.57,1.07,1.343,6169,-0.04,,горячая земля
F8 V,13.57,1.07,1.343,6169,-0.04,,очень теплая земля
G,14.5,0.77,0.72,5788,-0.72,,очень теплая земля
G,14.5,0.77,0.72,5788,-0.72,,очень теплая земля
G5,13.35,1.23,1.485,5593,0.34,,горячая земля
G5,13.35,1.23,1.485,5593,0.34,,горячая земля
G5,13.35,1.23,1.485,5593,0.34,,горячий нептун
F,13.66,1.2,1.284,6108,-0.11,,очень теплая земля
F,13.66,1.2,1.284,6108,-0.11,,очень теплый нептун
F,14.65,0.99,1.05,6012,-0.05,,горячий нептун
F,14.65,0.99,1.05,6012,-0.05,,очень теплая земля
F,14.84,1.05,1.05,6209,-0.08,,горячая земля
F,14.84,1.05,1.05,6209,-0.08,,горячая земля
G,12.85,0.71,2.02,5502,0.08,,очень теплый нептун
G,12.85,0.71,2.02,5502,0.08,,очень теплый нептун
M0 V,15.67,0.54,0.471,3591,-0.1,,очень теплая земля
G8 V,9.7,0.8,0.77,5417,-0.32,6,очень теплая земля
G8 V,9.7,0.8,0.77,5417,-0.32,6,очень теплая земля
G,15.2,0.94,0.9,5852,-0.12,,горячая земля
G,15.2,0.94,0.9,5852,-0.12,,очень теплая земля
G,13.87,0.94,0.99,5666,-0.36,,очень теплая земля
G,13.87,0.94,0.99,5666,-0.36,,очень теплая земля
F,14.88,1.15,1.14,6509,-0.14,,горячая земля
F,14.88,1.15,1.14,6509,-0.14,,очень теплый нептун
F,14.88,1.15,1.14,6509,-0.14,,очень теплая земля
G,14.51,0.87,0.845,5787,-0.27,,горячая земля
G,14.51,0.87,0.845,5787,-0.27,,очень теплая земля
G,14.69,0.84,0.911,5977,-0.44,,горячая земля
G,14.69,0.84,0.911,5977,-0.44,,горячая земля
G,14.69,0.84,0.911,5977,-0.44,,горячая земля
G,15.7,0.89,0.837,5826,-0.2,,очень теплая земля
G,15.7,0.89,0.837,5826,-0.2,,очень теплый нептун
G0 V,13.78,1.05,1.175,5900,-0.16,,горячая земля
G0 V,13.78,1.05,1.175,5900,-0.16,,горячая земля
G0,13.86,0.88,1.224,5949,-0.01,,горячая земля
G0,13.86,0.88,1.224,5949,-0.01,,очень теплый нептун
K,12.49,0.69,0.671,4661,0.03,,очень теплая земля
K,12.49,0.69,0.671,4661,0.03,,очень теплая земля
F9 V,13.36,1.08,1.306,6054,0.05,,очень теплая земля
F9 V,13.36,1.08,1.306,6054,0.05,,очень теплый нептун
F,13.65,1.05,1.224,6045,-0.16,,горячая земля
F,13.65,1.05,1.224,6045,-0.16,,горячая земля
F8,10.42,1.34,1.57,6152,-0.18,,горячая земля
F8,10.42,1.34,1.57,6152,-0.18,,горячая земля
G,14.62,0.8,0.945,5600,-0.31,,горячая земля
G,14.62,0.8,0.945,5600,-0.31,,очень теплая земля
K,15.07,0.67,0.672,4710,-0.16,,очень теплая земля
K,15.07,0.67,0.672,4710,-0.16,,очень теплая земля
G,13.58,0.76,0.88,5577,-0.39,,очень теплая земля
G,13.58,0.76,0.88,5577,-0.39,,очень теплая земля
F,15.21,1.09,1.126,6326,-0.03,,горячий нептун
F,15.21,1.09,1.126,6326,-0.03,,горячий нептун
G,15.63,0.74,0.767,5178,-0.23,,очень теплая земля
G,15.63,0.74,0.767,5178,-0.23,,очень теплая земля
G2 V,13.99,1.03,1.05,5774,-0.37,,горячая земля
G2 V,13.99,1.03,1.05,5774,-0.37,,горячая земля
K,14.99,0.59,0.586,4498,-0.33,,очень теплая земля
K,14.99,0.59,0.586,4498,-0.33,,очень теплая земля
G,15.77,0.78,0.79,5376,-0.19,,горячая земля
G,15.77,0.78,0.79,5376,-0.19,,очень теплая земля
G9 V,13.94,0.67,0.776,5166,-0.12,,очень теплая земля
G9 V,13.94,0.67,0.776,5166,-0.12,,очень теплая земля
K1 IV,13.01,1.22,3.57,4940,0,,горячий нептун
K1 IV,13.01,1.22,3.57,4940,0,,горячий нептун
G,13.46,1.13,1.13,5938,-0.29,,горячая земля
G,13.46,1.13,1.13,5938,-0.29,,горячая земля
M0 V,12.19,0.502,0.5,3643,-0.12,,очень теплая земля
F8 V,13.22,1.32,1.38,6189,-0.04,,горячая земля
F8 V,13.22,1.32,1.38,6189,-0.04,,горячая земля
F,14.79,1.11,1.13,6402,-0.13,,горячая земля
F,14.79,1.11,1.13,6402,-0.13,,горячая земля
K,15.99,0.53,0.556,4262,-0.16,,очень теплая земля
G,11.92,0.85,0.99,5579,0.1,,очень теплый нептун
G,11.92,0.85,0.99,5579,0.1,,очень теплый нептун
G8 V,16,0.844,0.767,5307,-0.29,,очень теплый гигант
K,13.26,0.65,0.613,4493,-0.07,,очень теплая земля
K,13.26,0.65,0.613,4493,-0.07,,очень теплая земля
G,14.47,0.927,0.68,5502,-0.83,,очень теплая земля
G,14.47,0.927,0.68,5502,-0.83,,очень теплая земля
G0,12.7,1.223,1.487,5857,0.17,4.5,горячий нептун
F5 IV,14.76,1.48,2.13,6510,0.1,2.8,горячий гигант
G1 V,13.64,1.03,1.145,5886,0.01,,горячая земля
G1 V,13.64,1.03,1.145,5886,0.01,,очень теплая земля
F8 V,13.31,1.2,1.333,6117,-0.04,,горячая земля
F8 V,13.31,1.2,1.333,6117,-0.04,,очень теплый нептун
F9 V,13.27,1.21,1.264,6090,-0.14,,горячая земля
F9 V,13.27,1.21,1.264,6090,-0.14,,горячая земля
F9 V,13.27,1.21,1.264,6090,-0.14,,горячая земля
F9 V,13.27,1.21,1.264,6090,-0.14,,горячая земля
F9 V,12.81,1.14,1.329,6090,0.07,,горячая земля
F9 V,12.81,1.14,1.329,6090,0.07,,горячая земля
F9 V,12.81,1.14,1.329,6090,0.07,,очень теплая земля
G,15.23,0.925,0.884,5654,-0.01,,очень теплая земля
G,15.23,0.925,0.884,5654,-0.01,,очень теплая земля
G,15.86,1.02,0.893,5818,-0.13,,очень теплый нептун
G,15.86,1.02,0.893,5818,-0.13,,очень теплый гигант
G5,12.52,1.07,1.07,5538,0.18,5.84,горячая земля
G5,12.52,1.07,1.07,5538,0.18,5.84,горячая земля
G6 V,12.52,1,1.01,5476,0.33,7.47,горячая земля
F8 V,8.77,1.08,1.23,6104,-0.2,6.68,горячая земля
G6 V,9.44,0.92,0.89,5460,0.08,6.8,очень теплая земля
G2 V,14.47,0.94,0.966,5660,-0.09,7.4,горячий гигант
K2 V,12.3,0.87,0.82,4974,0.23,0.212,горячая земля
K2 V,12.3,0.87,0.82,4974,0.23,0.212,очень теплый нептун
K2 V,12.3,0.87,0.82,4974,0.23,0.212,очень теплый нептун
K2 V,12.3,0.87,0.82,4974,0.23,0.212,теплый нептун
G3 V,13.73,1.17,1.29,5750,0.27,5.1,горячий гигант
G5 V,13.34,0.951,0.933,5536,,5.5,горячая земля
G5 V,13.34,0.951,0.933,5536,,5.5,горячий нептун
K,15.84,0.64,0.61,4350,,,очень теплая земля
K,15.84,0.64,0.61,4350,,,очень теплая земля
G,14.03,1.08,1.12,5708,,,горячий нептун
G,14.03,1.08,1.12,5708,,,горячий нептун
G,15.89,0.95,0.83,5177,,,очень теплый нептун
G,15.89,0.95,0.83,5177,,,очень теплый нептун
G1 V,14.7,0.98,1.09,5820,-0.05,7,горячий гигант
M5 V,16.12,0.141,0.175,3258,-0.5,,очень теплая земля
M5 V,16.12,0.141,0.175,3258,-0.5,,очень теплая земля
M5 V,16.12,0.141,0.175,3258,-0.5,,очень теплая земля
G0,13.64,1.15,1.24,5972,0.23,,горячий гигант
G2 V,14.5,1.07,0.99,5790,0.26,,горячий гигант
G5,14.5,1.01,0.94,5460,0.44,,горячий гигант
K1 V,14.74,0.93,0.86,5170,0.24,5,горячий гигант
G1 V,14.84,0.91,0.92,5725,-0.21,6,горячий гигант
G2 V,14.22,0.96,1.35,5800,-0.19,7,горячий гигант
K1 V,15.22,0.87,0.8,5150,0.09,5,горячий гигант
G0,14,1.32,1.42,6041,0.33,,горячий гигант
G1 V,13.85,1.17,1.48,5884,0.2,,очень теплый нептун
G1 V,13.85,1.17,1.48,5884,0.2,,очень теплая земля
F9 V,11.97,1.07,1.09,6004,0.07,,горячая земля
F9 V,11.97,1.07,1.09,6004,0.07,,горячая земля
F9 V,11.97,1.07,1.09,6004,0.07,,горячая земля
F7 IV,14.95,1.46,2.26,6360,-0.01,2.67,горячий гигант
G0,14.97,1.2,1.38,5997,0.25,4,горячий гигант
F9,14.01,1.54,3.2,6161,-0.18,2.25,горячий гигант
K,15.86,0.73,0.7,4651,0.01,3,теплый нептун
K,14.35,0.71,0.68,4551,0,2.9,теплый нептун
G8 V,14.56,0.884,0.866,5431,0.02,7.2,теплый нептун
G2 V,15.98,1.19,1.52,5757,0.26,6.95,горячий гигант
K0 V,8.86,0.76,0.749,5046,-0.55,11.2,горячая земля
K0 V,8.86,0.76,0.749,5046,-0.55,11.2,очень теплая земля
K0 V,8.86,0.76,0.749,5046,-0.55,11.2,очень теплая земля
M4 V,17.48,0.354,0.35,3219,0.27,5,очень теплая земля
M4 V,17.48,0.354,0.35,3219,0.27,5,теплый нептун
M4 V,16.26,0.22,0.24,3359,-0.3,,очень теплая земля
M4 V,16.26,0.22,0.24,3359,-0.3,,очень теплая земля
G8 V,12.39,1,1.05,5493,0.07,,горячий гигант
G,11.41,0.97,1.47,5588,-0.1,12.1,горячий нептун
G,11.41,0.97,1.47,5588,-0.1,12.1,очень теплый нептун
M,16.88,0.59,0.55,3820,0.13,,очень теплый гигант
F8 V,11.68,1.35,1.57,6215,0.28,,горячая земля
F8 V,11.68,1.35,1.57,6215,0.28,,горячий нептун
F8 V,11.68,1.35,1.57,6215,0.28,,очень теплый гигант
G3 V,11.57,1.03,1.066,5687,0.32,5.25,горячий нептун
K0,15.3,0.902,0.94,5155,0.41,9.9,горячая земля
K0,15.3,0.902,0.94,5155,0.41,9.9,очень теплый гигант
K0,15.3,0.902,0.94,5155,0.41,9.9,очень теплый гигант
G,13.04,0.88,0.89,5194,0.17,,горячая земля
G,13.04,0.88,0.89,5194,0.17,,очень теплый нептун
G,13.04,0.88,0.89,5194,0.17,,очень теплый нептун
K8 V,15.26,0.55,0.52,3838,-0.02,,очень теплая земля
K8 V,15.26,0.55,0.52,3838,-0.02,,очень теплый нептун
K8 V,15.26,0.55,0.52,3838,-0.02,,очень теплый нептун
F,13.37,1.374,1.793,6297,0.04,,горячий гигант
F8 V,10.42,1.24,1.58,6225,0.03,3.8,горячая земля
F8 V,10.42,1.24,1.58,6225,0.03,3.8,горячий нептун
G0,14.67,1.04,0.94,6018,-0.08,,очень теплый гигант
G0,14.67,1.04,0.94,6018,-0.08,,очень теплый гигант
K8 V,15.1,0.54,0.52,4075,-0.29,,очень теплый нептун
K8 V,15.1,0.54,0.52,4075,-0.29,,очень теплая земля
G1 V,15.39,0.98,0.89,5858,-0.2,,горячая земля
G1 V,15.39,0.98,0.89,5858,-0.2,,очень теплый нептун
G1 V,15.39,0.98,0.89,5858,-0.2,,очень теплый нептун
G5 V,11.27,0.89,0.872,5522,-0.15,5.3,теплый нептун
M,15.85,0.51,0.5,3705,-0.04,,очень теплый нептун
M,15.85,0.51,0.5,3705,-0.04,,очень теплая земля
K,15.79,0.62,0.58,4362,-0.2,,горячая земля
K,15.79,0.62,0.58,4362,-0.2,,очень теплая земля
K,15.79,0.62,0.58,4362,-0.2,,очень теплая земля
K,15.79,0.62,0.58,4362,-0.2,,теплый нептун
K,15.79,0.62,0.58,4362,-0.2,,теплый нептун
K,12.44,1.32,4.23,4840,0.2,3.5,горячий нептун
K,12.44,1.32,4.23,4840,0.2,3.5,горячий гигант
G8 V,14.81,0.884,0.79,5324,-0.05,,горячий нептун
G8 V,14.81,0.884,0.79,5324,-0.05,,очень теплая земля
G1 V,14.82,0.95,1.03,5843,-0.12,,горячий нептун
G1 V,14.82,0.95,1.03,5843,-0.12,,очень теплый нептун
F9 V,14.31,1.04,0.94,6074,-0.25,,горячая земля
F9 V,14.31,1.04,0.94,6074,-0.25,,очень теплая земля
G,13.25,1.209,1.391,5647,0.34,3.8,горячий гигант
G0,13.96,1.04,1.257,5905,0.016,,горячая земля
G0,13.96,1.04,1.257,5905,0.016,,горячая земля
G0,13.96,1.04,1.257,5905,0.016,,горячая земля
K2 V,13.75,0.69,0.64,4925,-0.37,7,очень теплая земля
K2 V,13.75,0.69,0.64,4925,-0.37,7,очень теплая земля
K2 V,13.75,0.69,0.64,4925,-0.37,7,очень теплая земля
G5 V,11.58,0.984,0.9,5576,0.05,0.21,горячий гигант
F8 V,11.02,1.25,1.41,6211,0.17,2.9,горячая земля
F8 V,11.02,1.25,1.41,6211,0.17,2.9,горячий нептун
F8 V,11.02,1.25,1.41,6211,0.17,2.9,горячая земля
G0 V,15.3,1.04,0.97,5962,0.01,1,очень теплый нептун
G9 V,16.4,0.865,0.78,5331,0.01,1,очень теплый нептун
G2 V,10,1.08,1.243,5793,0.12,6.3,горячая земля
G2 V,10,1.08,1.243,5793,0.12,6.3,горячая земля
G4 V,13.7,0.81,0.93,5638,-0.29,,очень теплый нептун
G0,12.82,1.36,2.02,5933,0.11,3.5,горячий гигант
G,15.13,0.95,0.86,5595,,,горячий гигант
F,13.3,1.2,1.32,6409,-0.1,,горячий гигант
G5 V,14.45,0.95,0.99,5520,0.2,7.5,горячий гигант
G9 V,11.72,0.76,0.74,5058,-0.18,0.75,горячая земля
F8 V,13.9,1.165,1.3,6174,,3.44,горячий нептун
F8 V,13.9,1.165,1.3,6174,,3.44,очень теплая земля
F8 V,13.9,1.165,1.3,6174,,3.44,очень теплый нептун
F8 V,13.9,1.165,1.3,6174,,3.44,очень теплая земля
F,13.9,1.213,1.486,6213,-0.055,3.84,горячий гигант
K5 V,14.8,0.73,0.68,4540,0.04,2,горячая земля
K5 V,14.8,0.73,0.68,4540,0.04,2,горячая земля
K5 V,14.8,0.73,0.68,4540,0.04,2,очень теплая земля
K5 V,14.8,0.73,0.68,4540,0.04,2,очень теплый нептун
K5 V,14.8,0.73,0.68,4540,0.04,2,очень теплый нептун
K5 V,14.8,0.73,0.68,4540,0.04,2,очень теплая земля
K,15.02,0.63,0.595,4500,-0.18,,очень теплый нептун
K,15.02,0.63,0.595,4500,-0.18,,очень теплый нептун
K,15.02,0.63,0.595,4500,-0.18,,очень теплая земля
G7 V,15.16,0.91,0.9,5400,0.2,6.8,горячая земля
G7 V,15.16,0.91,0.9,5400,0.2,6.8,горячий нептун
G7 V,15.16,0.91,0.9,5400,0.2,6.8,очень теплый нептун
G7 V,15.16,0.91,0.9,5400,0.2,6.8,очень теплый нептун
G7 V,15.16,0.91,0.9,5400,0.2,6.8,теплый нептун
K,15.78,0.66,0.594,4648,-0.25,,очень теплая земля
K,15.78,0.66,0.594,4648,-0.25,,очень теплый нептун
K,15.78,0.66,0.594,4648,-0.25,,очень теплый нептун
G0 V,14.76,1,1.17,6031,-0.18,,горячая земля
G0 V,14.76,1,1.17,6031,-0.18,,горячий нептун
G0 V,14.76,1,1.17,6031,-0.18,,горячий нептун
G0 V,14.76,1,1.17,6031,-0.18,,очень теплый нептун
G0 V,14.76,1,1.17,6031,-0.18,,очень теплый нептун
G,14.78,0.92,0.89,5436,-0.03,,горячая земля
G,14.78,0.92,0.89,5436,-0.03,,очень теплый нептун
G,14.78,0.92,0.89,5436,-0.03,,очень теплая земля
G,14.78,0.92,0.89,5436,-0.03,,очень теплая земля
G5,14.6,1.1,1.82,5600,-0.17,7.5,горячая земля
G5,14.6,1.1,1.82,5600,-0.17,7.5,горячая земля
G5 V,13.11,0.99,0.897,5513,0.27,2.45,эксцентричный холодный гигант
F8 V,12.2,1.28,1.52,6182,0.02,3.16,горячая земля
F8 V,12.2,1.28,1.52,6182,0.02,3.16,горячий нептун
F8 V,12.2,1.28,1.52,6182,0.02,3.16,очень теплый гигант
F8 V,12.2,1.28,1.52,6182,0.02,3.16,очень теплый нептун
G3 V,13.9,1.02,0.96,5774,0.05,2,горячая земля
G3 V,13.9,1.02,0.96,5774,0.05,2,очень теплый гигант
G3 V,13.9,1.02,0.96,5774,0.05,2,очень теплый нептун
F9 V,14.14,1.12,1.29,6015,0.1,,горячая земля
F9 V,14.14,1.12,1.29,6015,0.1,,горячая земля
F9 V,14.14,1.12,1.29,6015,0.1,,очень теплая земля
F9 V,14.14,1.12,1.29,6015,0.1,,очень теплый нептун
F9 V,14.14,1.12,1.29,6015,0.1,,очень теплый нептун
F9 V,14.14,1.12,1.29,6015,0.1,,очень теплый нептун
K3 III,12.88,1.31,6.3,4550,0.11,4.9,горячий гигант
G5,9.93,0.911,0.919,5669,-0.18,6.6,горячая земля
K,12.9,0.81,0.76,4781,0.34,1.4,горячий нептун
G3 V,12.35,1.08,1.41,5699,0.3,5.63,горячий нептун
G3 V,10.3,1,1.02,5690,0.04,2.34,очень теплый нептун
G2 V,12.87,0.94,0.98,5779,-0.2,8.4,горячая земля
G5,12.9,0.99,1.11,5539,0.18,2.8,горячая земля
K,12.97,0.79,0.73,4782,0.18,1.47,горячая земля
M3 V,11.69,0.31,0.314,3412,-0.5,,очень теплая земля
M3 V,11.69,0.31,0.314,3412,-0.5,,очень теплая земля
M5 V,15.26,0.151,0.189,3036,,,очень теплая земля
M0 V,12.49,0.59,0.584,3950,0.41,,очень теплый нептун
M4 V,13.07,0.401,0.374,3331,0.28,,горячая земля
M4 V,13.07,0.401,0.374,3331,0.28,,теплый нептун
K1 V,12.46,0.86,0.832,5050,0.22,3.9,очень теплый гигант
F5 V,10.96,1.62,1.7,6478,-0.06,2.17,горячий гигант
K2 V,13.77,0.66,0.738,4987,0.12,,горячий гигант
K,13.3,0.743,0.776,4645,0,,горячий гигант
G0 V,12.88,1.145,1.27,6007,-0.04,4.08,горячий гигант
K1 V,13.6,0.954,1.115,5219,0.17,12.9,горячий гигант
G2 V,12.82,1.128,1.076,5747,0.38,5.5,горячий гигант
K7 V,11.59,0.71,0.695,4350,0.3,4.1,очень теплый нептун
K7 V,11.59,0.71,0.695,4350,0.3,4.1,очень теплый гигант
G9 V,10.44,0.89,1.01,5225,0.07,12.1,горячий нептун
K5 V,11.95,0.65,0.65,4316,-0.23,7.1,горячая земля
K5 V,11.95,0.65,0.65,4316,-0.23,7.1,очень теплая земля
K5 V,11.95,0.65,0.65,4316,-0.23,7.1,очень теплый нептун
K5 V,11.95,0.65,0.65,4316,-0.23,7.1,очень теплый нептун
K5 V,11.95,0.65,0.65,4316,-0.23,7.1,очень теплый нептун
K5 V,11.95,0.65,0.65,4316,-0.23,7.1,очень теплый нептун
G5 V,11.02,0.95,0.88,5550,-0.02,0.125,горячая земля
G5 V,11.02,0.95,0.88,5550,-0.02,0.125,очень теплый нептун
G5 V,11.02,0.95,0.88,5550,-0.02,0.125,очень теплый нептун
K6 V,10.54,0.74,0.678,4440,0.12,5,горячая земля
K6 V,10.54,0.74,0.678,4440,0.12,5,очень теплая земля
